order_id,exception_type,expected_reasoning,related_transaction_id
ad3c2d6d-1a3d-4fa7-bc89-60a923b8c1e9,clean_match,Amounts reconcile exactly; no action needed.,61484bb3-889b-48d5-9bfd-d97eaca2b148
815ef6d1-3b8f-4a18-b7f8-a88b17fc695a,clean_match,Amounts reconcile exactly; no action needed.,b7fddd71-a075-4927-9110-b492f4427e0b
6b65a6a4-8b81-48f6-b38a-088ca65ed389,duplicate_transaction,Settlement contains a duplicate entry for transaction_id df547e50-7cea-4045-8268-283ee32f2e63.,df547e50-7cea-4045-8268-283ee32f2e63
ce4a2bbd-c241-430b-81a9-e71fde8a774b,clean_match,Amounts reconcile exactly; no action needed.,118405ad-9e11-42cd-8930-aef68a80068d
c37459ee-f50b-4a63-b71e-cd7b27cd8130,clean_match,Amounts reconcile exactly; no action needed.,ebc2026f-af34-4f65-a193-c4b23c19e71d
9a8dca03-580d-4b71-98f5-64135be6128e,clean_match,Amounts reconcile exactly; no action needed.,bf2c14a0-3a3c-4a71-bf57-4e2b4991ab9b
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,clean_match,Amounts reconcile exactly; no action needed.,1933918c-fa74-4761-af18-c1081723199d
dc98d2c1-e2ac-472f-9e57-4f7aa0ee89ae,clean_match,Amounts reconcile exactly; no action needed.,df615a5c-b432-4070-a23d-4c2fc2a79689
c5e7ce8a-3a57-4a8e-a948-8d990bbb2599,clean_match,Amounts reconcile exactly; no action needed.,b1aa0f6a-2a96-41e2-b194-eae219bad7ae
47294739-614f-43d7-99db-3ad0ddd1dfb2,clean_match,Amounts reconcile exactly; no action needed.,0bc61066-0769-465f-a746-ccb94ca9cf07
ab9099a4-35a2-40ae-9af3-05535ec42e08,clean_match,Amounts reconcile exactly; no action needed.,4b1a269b-0e5d-4462-8bd0-0ef2530a37df
2bcfbe01-a28d-4fe3-9bf0-027312476f57,clean_match,Amounts reconcile exactly; no action needed.,25440fe0-6e41-4d47-9ff5-95ea5bc440f1
ece66fa2-fd51-46e6-851b-4cf36123fdf7,clean_match,Amounts reconcile exactly; no action needed.,90e0a95b-697c-4923-87fa-841a3e83b91f
c6a7ee39-c4b0-42cc-97c5-24a55304317f,clean_match,Amounts reconcile exactly; no action needed.,2b840c67-2e18-4554-8ae2-8e66ae8a7813
f16287e4-e9c3-49e0-b602-f8ac10f1bc81,clean_match,Amounts reconcile exactly; no action needed.,deef580f-9c07-4751-9437-45092cd1586a
e27a984d-6548-41d0-bfcd-9eb1a7cad415,clean_match,Amounts reconcile exactly; no action needed.,3da70577-aee1-486b-9ea5-56aa61ee6c5b
89fa6a68-8fb5-427b-beb7-99193f22faf8,clean_match,Amounts reconcile exactly; no action needed.,24a35cf2-9549-4931-a9af-299d7f671eec
382567b8-5cab-4c97-a63f-1c97956269f0,clean_match,Amounts reconcile exactly; no action needed.,4104a8b5-a34d-47c5-b60d-ebbb3b70b3a1
cac5b68c-28f4-4481-a0a0-4dc427209bdf,clean_match,Amounts reconcile exactly; no action needed.,0267deb3-aab6-42c9-815d-174a75a66981
8da0365b-f898-47b9-805c-acec877409a9,clean_match,Amounts reconcile exactly; no action needed.,e6b5a92c-771a-4655-8dfc-6ee0e61ede90
1c8eaee9-5715-4d6f-a416-1293c4c2e2e3,clean_match,Amounts reconcile exactly; no action needed.,28711733-8bed-4b12-ad77-e82f49a23a89
b83cfe0b-e037-45ed-b8db-0672f42d47cc,clean_match,Amounts reconcile exactly; no action needed.,5876fd09-f1fa-4665-b115-33f312e89d10
deda4e16-1b3d-4d5c-a9a1-fa6f81f76d1c,clean_match,Amounts reconcile exactly; no action needed.,a3917c99-4c95-4f6a-966b-1964fcd6bdca
5fb8d16c-2720-497d-b2eb-d6899be578c7,clean_match,Amounts reconcile exactly; no action needed.,40066ff2-b0b8-42ef-ac9f-82b9f6478986
00257ad1-eb22-43dd-87c5-421eec24a3c5,clean_match,Amounts reconcile exactly; no action needed.,32ffe294-4d57-4880-9865-d69a74f33103
e0c53cb8-3da9-42a9-8ed4-2f1a3d4cbf37,clean_match,Amounts reconcile exactly; no action needed.,7bb38605-da74-4152-a27b-41a1ffd6f232
c40db9b4-885f-4e66-82b6-d2c5fa5d3100,clean_match,Amounts reconcile exactly; no action needed.,92698698-61a1-4729-bcb9-83501b4da0fe
8715a103-43da-4043-aa45-c2ab8cbfedb0,clean_match,Amounts reconcile exactly; no action needed.,fe2110d0-4bbe-4aff-9326-dffd5be4bf51
b09b2a5c-badc-432a-8159-0f538a0f4efb,clean_match,Amounts reconcile exactly; no action needed.,fa5a91ca-059d-455d-8b94-3e30b303f438
702753a1-5f98-4c71-a65e-688eabf3ad39,clean_match,Amounts reconcile exactly; no action needed.,464458b4-6553-467d-a881-bfd3d47d577b
969b6662-0562-4059-968c-c69b1064005c,clean_match,Amounts reconcile exactly; no action needed.,af908e3c-dd75-4e98-90e0-b95f0212b554
0f1259e0-a18f-46b6-b535-106e122c9a56,clean_match,Amounts reconcile exactly; no action needed.,0c8e29e3-f93e-48d5-bea2-9dfec73f6e1b
7c441fe7-ab42-40a7-874a-493b3ceddf2d,clean_match,Amounts reconcile exactly; no action needed.,7f2984f5-bec3-4a37-9b3d-74bde91e314e
7900f7f9-9382-4b43-922f-e15ae1e3db63,clean_match,Amounts reconcile exactly; no action needed.,4944051b-e726-4e23-a776-b886d534ee1d
a8b317fa-18d0-452b-9825-bc5430beb45f,clean_match,Amounts reconcile exactly; no action needed.,9b689c88-3ae9-49fe-8c82-18dac696f5e6
ac619e63-0dde-49a6-baa4-b71add2467ac,clean_match,Amounts reconcile exactly; no action needed.,a2f963a3-3810-4e66-9a31-b4cccd4b69a9
3fa7f104-1bf9-4e27-9c96-925eccf3a171,clean_match,Amounts reconcile exactly; no action needed.,ad81f8bd-4029-43ec-9ef2-b93e30ac7d7b
766ecb15-474e-4c19-aef9-12766c006f61,clean_match,Amounts reconcile exactly; no action needed.,a8c01f05-c478-46f1-b88e-c318c16d83ed
ffd0f9d5-a6f2-47b8-8cf3-5b5819108be5,clean_match,Amounts reconcile exactly; no action needed.,a0d4de3d-2303-46c6-969d-42f1ae4c84ff
3c835dc0-d944-4fa5-80e9-ab30ed2662e9,clean_match,Amounts reconcile exactly; no action needed.,a5769411-a0a1-4839-a745-770418dfbc3c
0f02bad0-e706-4ef4-a6aa-9385dd59ba71,clean_match,Amounts reconcile exactly; no action needed.,70d9c9f8-c9e2-4074-8f16-39a00a17991e
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,clean_match,Amounts reconcile exactly; no action needed.,bb7bee03-5d67-4bb1-945e-f2e4088a93ec
8e46d534-c88a-418e-bed4-057dbb026576,clean_match,Amounts reconcile exactly; no action needed.,4b8c5bdc-e8dd-4e5a-9712-fb1621a4344f
0ef8c2d6-f7fd-4646-b7bb-3eec4bf50b52,mdr_rate_mismatch,MDR fee charged (76.02) does not match the agreed rate (expected 72.4).,2cf6bf75-6a5e-4920-bf5a-e7e653a3dd5a
eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,clean_match,Amounts reconcile exactly; no action needed.,8a16a06c-c958-475e-a1d5-3971336749b5
